group_key,group_key_type,file_id,n_candidates,n_with_datetime,is_selected,analysis_updated_datetime,workflow_type,workflow_version,workflow_mixed_flag,tie_break_applied,reason_code,api_fetch_status,dataset
"C3N-03188, C3N-03188",case_id,0c348712-629f-49df-a9f4-90840d5b28ef,1,1,TRUE,2022-08-24T12:15:37.552004-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03448, C3N-03448",case_id,df4c07a1-8871-45d7-9a1d-9246c122926d,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03449, C3N-03449",case_id,7a2d77e7-82f8-43fa-984a-8697c226768e,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03452, C3N-03452",case_id,484a671c-b442-4547-946e-3ed6aa61ece6,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03453, C3N-03453",case_id,63039318-f955-44f7-8afd-48949d2ffcb0,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03473, C3N-03473",case_id,0e61c5d3-a0fb-4234-bb4c-2814da81cf79,1,1,TRUE,2022-08-24T12:05:22.140203-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03480, C3N-03480",case_id,c4546ef5-449e-49a4-b63d-f5d0b4ed9ef4,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03484, C3N-03484",case_id,d0ea0ee8-c340-4522-bfbc-9a53fab6ef4e,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03755, C3N-03755",case_id,007ddf7f-3d76-4cab-81ef-f98007b97ef6,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03756, C3N-03756",case_id,1ff3b95b-ead5-423d-912c-b8f58d2a2aca,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03757, C3N-03757",case_id,87b771e5-ea29-4c50-9efc-ea7d584d61d0,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03789, C3N-03789",case_id,9d86695c-1247-4066-a95f-2754b177a593,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03791, C3N-03791, C3N-03791, C3N-03791",case_id,a289e4a5-39c6-4808-8247-bf5298a9b896,3,3,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-03791, C3N-03791, C3N-03791, C3N-03791",case_id,a289e4a5-39c6-4808-8247-bf5298a9b896,3,3,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-03791, C3N-03791, C3N-03791, C3N-03791",case_id,a289e4a5-39c6-4808-8247-bf5298a9b896,3,3,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-03792, C3N-03792",case_id,9875b34a-56aa-4e73-9d46-a5cc7a515bde,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03796, C3N-03796",case_id,11da895c-a877-4f36-915d-2c82083dccc3,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03797, C3N-03797, C3N-03797, C3N-03797",case_id,eacce1f3-6134-4422-8ca8-f0b64a46f4d7,3,3,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-03797, C3N-03797, C3N-03797, C3N-03797",case_id,eacce1f3-6134-4422-8ca8-f0b64a46f4d7,3,3,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-03797, C3N-03797, C3N-03797, C3N-03797",case_id,eacce1f3-6134-4422-8ca8-f0b64a46f4d7,3,3,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-03800, C3N-03800",case_id,2c9c34b6-5462-4371-b6e6-d26bdb39821a,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03802, C3N-03802",case_id,8341ca09-a9ab-4157-834f-2bdaf490f8c5,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03810, C3N-03810",case_id,32f27eda-59b9-4fa4-9e78-30657ae1fc23,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03935, C3N-03935",case_id,da4b2d33-ef91-46a9-a264-53ff663aedbb,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-03939, C3N-03939",case_id,69e6e6a6-0a0f-49b0-a6da-465965b33dc7,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04092, C3N-04092",case_id,0c1f010e-fc68-40c9-9c7b-4d99630e29aa,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04094, C3N-04094, C3N-04094",case_id,909eccb9-b23b-411a-b9a5-ab5867bde009,2,2,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-04094, C3N-04094, C3N-04094",case_id,909eccb9-b23b-411a-b9a5-ab5867bde009,2,2,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-04097, C3N-04097",case_id,7dbad69c-503a-4d3b-8bc8-3b3facca4dc3,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04098, C3N-04098, C3N-04098",case_id,acf771f5-4b0a-43c5-bf4e-c8f6b1e65211,2,2,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-04098, C3N-04098, C3N-04098",case_id,acf771f5-4b0a-43c5-bf4e-c8f6b1e65211,2,2,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-04100, C3N-04100",case_id,cf2dbe4e-6618-4bf2-982e-296308d9ece9,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04113, C3N-04113",case_id,302c4a54-7d3c-4408-93bd-1542cdf20a88,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04312, C3N-04312",case_id,c57eb0ba-74e5-4e0d-8948-a1fae168df85,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04683, C3N-04683",case_id,3715d679-8689-4854-9d5a-a5f6c5672513,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04686, C3N-04686",case_id,ec5c0472-cd0c-4ace-aab2-093a35c09413,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04687, C3N-04687",case_id,b4574e4e-8c63-4604-ae06-265be23f3f6c,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04691, C3N-04691",case_id,5558e4e5-642e-410d-b51b-4ead5de6f692,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04693, C3N-04693",case_id,bc072bd5-6960-49bb-9409-cdc0544e12a0,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-04695, C3N-04695",case_id,04fff6d3-2666-470b-b3f3-953c7e6598a8,1,1,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-05039, C3N-05039, C3N-05039",case_id,7bec9b88-055a-413d-b2f9-d79c2307481c,2,2,TRUE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C3N-05039, C3N-05039, C3N-05039",case_id,7bec9b88-055a-413d-b2f9-d79c2307481c,2,2,FALSE,2024-02-22T12:43:17.057630-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-05114, C3N-05114, C3N-05114",case_id,90226de1-fb96-4d53-8a50-5e49c1fcdbde,2,2,TRUE,2024-02-22T12:55:14.062461-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
