cohort,gene,term,beta,ci_lower,ci_upper,se,p_value,n,r_squared,note,p_BH,significant
GDC_Grade4_all,HAVCR2,tp53_bin,-0.112,-0.303,0.079,0.0972,0.24983011363301647,442,0.0157,ok,0.7130424348714364,FALSE
GDC_Grade4_all,LAG3,tp53_bin,0.2617,0.1405,0.3829,0.0617,2.7024072179389612e-5,442,0.0799,ok,1.891685052557273e-4,TRUE
GDC_Grade4_all,PDCD1,tp53_bin,-0.0185,-0.1484,0.1113,0.0661,0.7791907926748249,442,0.1321,ok,0.8650079804933224,FALSE
GDC_Grade4_all,PDCD1LG2,tp53_bin,0.0749,-0.1216,0.2714,0.1,0.45426124765160103,442,0.0811,ok,0.7949571833903017,FALSE
GDC_Grade4_all,TIGIT,tp53_bin,0.0166,-0.0936,0.1268,0.0561,0.7672258093483314,442,0.3931,ok,0.8650079804933224,FALSE
GLASS_WXS,CD274,tp53_bin,-0.077,-0.5737,0.4197,0.2494,0.7583417793560141,79,0.0012,ok,0.9215436323006476,FALSE
GLASS_WXS,CTLA4,tp53_bin,0.0679,-0.2449,0.3806,0.1571,0.6668818201408611,79,0.0024,ok,0.9215436323006476,FALSE
GLASS_WXS,HAVCR2,tp53_bin,-0.0398,-0.5518,0.4722,0.2571,0.8773388477192959,79,3e-4,ok,0.9215436323006476,FALSE
GLASS_WXS,LAG3,tp53_bin,0.4967,0.1867,0.8068,0.1557,0.0020571272134580474,79,0.1167,ok,0.014399890494206332,TRUE
GLASS_WXS,PDCD1,tp53_bin,0.0875,-0.1617,0.3368,0.1252,0.48641543437787604,79,0.0063,ok,0.9215436323006476,FALSE
GLASS_WXS,PDCD1LG2,tp53_bin,0.0235,-0.4494,0.4963,0.2375,0.9215436323006476,79,1e-4,ok,0.9215436323006476,FALSE
GLASS_WXS,TIGIT,tp53_bin,0.0791,-0.3267,0.4849,0.2038,0.698928237384776,79,0.002,ok,0.9215436323006476,FALSE
