analysis,subset,gene,n_mut,n_wt,median_diff,HL_estimate,p_wilcox,p_BH,cliffs_delta,effect_size_label
28gene_Grade2,Grade2,CD3D,144,161,-0.04740774212524179,-0.006791504981168494,0.8846897276458369,0.9404241689928576,-0.00966183574879227,negligible
28gene_Grade2,Grade2,CD3E,144,161,0.009813035467234776,0.004853391442646306,0.9362488165956223,0.9404241689928576,0.005348516218081435,negligible
28gene_Grade2,Grade2,CD3G,144,161,-6.617191968633918e-4,0.004410605349819481,0.6820173409614716,0.9093564546152955,0.027217046238785368,negligible
28gene_Grade2,Grade2,CD8A,144,161,-0.2600580440769855,-0.2417756594713518,7.575894744478133e-4,0.003535417547423129,-0.22342995169082125,small
28gene_Grade2,Grade2,CD8B,144,161,-0.01169166949957011,-0.013778717385684928,0.1265830730820007,0.2726404650996938,-0.10136300897170462,negligible
28gene_Grade2,Grade2,GZMA,144,161,-0.03781138655578231,-0.02850392801589012,0.6285116293586943,0.879916281102172,-0.03213423050379572,negligible
28gene_Grade2,Grade2,GZMB,144,161,-0.09331541999946402,-0.06656735214854065,0.1202879538918878,0.2726404650996938,-0.10308833678398896,negligible
28gene_Grade2,Grade2,PRF1,144,161,-0.16254377255927532,-0.0920520279660831,0.1747332283757158,0.3261686929680028,-0.09006211180124224,negligible
28gene_Grade2,Grade2,LAG3,144,161,0.2149274964746407,0.21499514694268587,8.597937874272774e-5,6.018556511990942e-4,0.26052449965493446,small
28gene_Grade3,Grade3,B2M,91,113,0.07822550357104952,0.002559091690081103,0.9885783130368088,0.9885783130368088,0.0012642225031605564,negligible
28gene_Grade3,Grade3,TAP1,91,113,-0.34310874735266417,-0.4636910462796646,4.819659721618464e-4,0.00674752361026585,-0.2846445589808422,small
28gene_Grade3,Grade3,TAP2,91,113,-0.3332144068150944,-0.25709733226325493,0.005942227020451278,0.05543100728896188,-0.2243508703685695,small
28gene_Grade3,Grade3,TAPBP,91,113,-0.14277023005389022,-0.11705169127562179,0.10522543854591514,0.2946312279285624,-0.1321598755227074,negligible
28gene_Grade3,Grade3,HLA-A,91,113,-0.07004351758742366,-0.06726476276650711,0.6063041165186674,0.7016273569120578,-0.04210833414373237,negligible
28gene_Grade3,Grade3,HLA-B,91,113,-0.12856088020085465,-0.14422525854265283,0.4023374992849635,0.6018484478951284,-0.06836526305552854,negligible
28gene_Grade3,Grade3,HLA-C,91,113,-0.20018995318303823,-0.16812752603230594,0.2621274349806028,0.4587230112160549,-0.09151025965185257,negligible
28gene_Grade3,Grade3,NLRC5,91,113,0.17850799667997652,0.08300786600404333,0.5179030358259626,0.6591493183239524,0.05280560147816785,negligible
